x,y,u_x,u_y
0.6529707759377005,0.16613446058713074,3.711325288078929e-05,8.091773155354227e-06
0.474481550999448,0.2958653921419915,2.2343502426208218e-05,5.1783749721272765e-06
0.39897819517191885,0.2948940069594798,1.5067592085445009e-05,9.256944326488829e-06
0.9668839138024166,0.09063392140950524,4.912911110673096e-05,8.777073799941846e-06
0.7795860364473762,0.6689987719062228,4.383295992251358e-05,7.164747795390366e-05
0.8318365088678561,0.6465386520627896,4.475408842180555e-05,6.667125849623468e-05
0.859592952699923,0.6992627350533758,4.599322095028148e-05,7.154746221053624e-05
0.7240316879405126,0.15815318679804036,4.105007790232574e-05,1.040873817690024e-05
0.04579756126263067,0.19301018618445315,1.1932096333005988e-06,1.8886464942438833e-05
0.9542024387373693,0.8069898138155469,4.880687356540217e-05,8.111747822814207e-05
0.756879454151317,0.6045513798736254,4.25528039210695e-05,6.562368714343687e-05
0.3960721913794471,0.8937231972855959,1.6793998102057306e-05,9.577290192424017e-05
1.0,0.34375,5e-05,3.4519197775469734e-05
0.9080517427420851,0.2860897578873378,4.73811896705303e-05,2.7921219041525514e-05
0.21753816427033576,0.47212069618539076,8.933391965258349e-06,4.626685848656576e-05
0.2688670488519268,0.25796469015846085,7.692128039654536e-06,1.8087152561758357e-05
0.3279576988788221,0.08958758629139724,1.2337718761984546e-05,4.7950335511195605e-06
0.7861815147733491,0.33101447812917395,4.3993735698450684e-05,2.875681378654638e-05
0.59375,1.0,3.2155741622151236e-05,0.0001
0.3729592517182928,0.24891644813001343,1.358133269814232e-05,1.0106847612544864e-05
0.3570030894079946,0.16522249910449566,1.3547904969052172e-05,7.687639381335799e-06
